Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,0,classification,0.44999999999999996,0.6
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,1,classification,0.55,0.64
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,2,classification,0.44999999999999996,0.65
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,3,classification,0.6,0.56
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,4,classification,0.8,0.72
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,5,classification,0.65,0.62
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,6,classification,0.6,0.69
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,7,classification,0.7,0.5900000000000001
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,8,classification,0.44999999999999996,0.73
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.01,9,classification,0.8,0.6799999999999999
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,0,classification,0.44999999999999996,0.6
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,1,classification,0.55,0.64
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,2,classification,0.44999999999999996,0.65
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,3,classification,0.6,0.5900000000000001
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,4,classification,0.8,0.72
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,5,classification,0.65,0.62
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,6,classification,0.6,0.69
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,7,classification,0.6,0.5900000000000001
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,8,classification,0.44999999999999996,0.73
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.003,9,classification,0.7,0.63
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,0,classification,0.44999999999999996,0.5900000000000001
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,1,classification,0.55,0.7
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,2,classification,0.44999999999999996,0.6599999999999999
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,3,classification,0.6,0.65
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,4,classification,0.8,0.72
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,5,classification,0.65,0.62
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,6,classification,0.6,0.69
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,7,classification,0.5,0.5800000000000001
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,8,classification,0.44999999999999996,0.73
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.001,9,classification,0.6,0.6599999999999999
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,0,classification,0.44999999999999996,0.6599999999999999
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,1,classification,0.5,0.63
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,2,classification,0.44999999999999996,0.65
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,3,classification,0.8,0.6699999999999999
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,4,classification,0.8,0.72
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,5,classification,0.65,0.62
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,6,classification,0.75,0.65
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,7,classification,0.5,0.54
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,8,classification,0.44999999999999996,0.73
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0003,9,classification,0.7,0.63
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,0,classification,0.44999999999999996,0.6699999999999999
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,1,classification,0.55,0.7
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,2,classification,0.75,0.72
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,3,classification,0.8,0.6699999999999999
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,4,classification,0.8,0.72
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,5,classification,0.65,0.62
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,6,classification,0.75,0.6699999999999999
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,7,classification,0.7,0.5900000000000001
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,8,classification,0.44999999999999996,0.73
TRANSFORMER_ENCDEC,associative_recall,small,1000,1249,0.0001,9,classification,0.7,0.63
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,0,classification,0.44999999999999996,0.6
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,1,classification,0.55,0.64
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,2,classification,0.75,0.65
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,3,classification,0.65,0.64
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,4,classification,0.55,0.64
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,5,classification,0.65,0.71
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,6,classification,0.6,0.69
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,7,classification,0.55,0.72
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,8,classification,0.44999999999999996,0.73
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.01,9,classification,0.7,0.63
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.003,0,classification,0.30000000000000004,0.52
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.003,1,classification,0.55,0.64
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.003,2,classification,0.8,0.7
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.003,3,classification,0.6,0.5900000000000001
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.003,4,classification,0.55,0.62
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.003,5,classification,0.65,0.62
TRANSFORMER_ENCDEC,associative_recall,small,10000,9113,0.003,6,classification,0.44999999999999996,0.56
